# Single SKU Max Power Table
# |CCK 1~11 | |    OFDM 6 ~ 54      | |             HT20 MCS 0 ~ 15                 | |             HT40 MCS 0 ~ 15                 |
ch106 18 18 18 18 18 18 17 17 18 18 18 18 18 18 17 17 18 18 18 18 18 18 17 17 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 10 10 10 10 10 10 10 10 10 10
ch108 18 18 18 18 18 18 17 17 18 18 18 18 18 18 17 17 18 18 18 18 18 18 17 17 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 13 13 13 13 13 13 13 13 13 13
ch110 18 18 18 18 18 18 17 17 18 18 18 18 18 18 17 17 18 18 18 18 18 18 17 17 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 13 13 13 13 13 13 13 13 13 13
ch112 18 18 18 18 18 18 17 17 18 18 18 18 18 18 17 17 18 18 18 18 18 18 17 17 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 13 13 13 13 13 13 13 13 13 13
ch116 18 18 18 18 18 18 17 17 18 18 18 18 18 18 17 17 18 18 18 18 18 18 17 17 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 18 18 18 18 18 18 18 18 18 18
ch118 18 18 18 18 18 18 17 17 18 18 18 18 18 18 17 17 18 18 18 18 18 18 17 17 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 18 18 18 18 18 18 18 18 18 18
ch120 18 18 18 18 18 18 17 17 18 18 18 18 18 18 17 17 18 18 18 18 18 18 17 17 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 18 18 18 18 18 18 18 18 18 18
ch122 18 18 18 18 18 18 17 17 18 18 18 18 18 18 17 17 18 18 18 18 18 18 17 17 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 10 10 10 10 10 10 10 10 10 10
ch124 18 18 18 18 18 18 17 17 18 18 18 18 18 18 17 17 18 18 18 18 18 18 17 17 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 18 18 18 18 18 18 18 18 18 18
ch126 18 18 18 18 18 18 17 17 18 18 18 18 18 18 17 17 18 18 18 18 18 18 17 17 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 18 18 18 18 18 18 18 18 18 18
ch128 18 18 18 18 18 18 17 17 18 18 18 18 18 18 17 17 18 18 18 18 18 18 17 17 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 18 18 18 18 18 18 18 18 18 18
ch132 18 18 18 18 18 18 17 17 18 18 18 18 18 18 17 17 18 18 18 18 18 18 17 17 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 18 18 18 18 18 18 18 18 18 18
ch134 18 18 18 18 18 18 17 17 18 18 18 18 18 18 17 17 18 18 18 18 18 18 17 17 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 18 18 18 18 18 18 18 18 18 18
ch136 18 18 18 18 18 18 17 17 18 18 18 18 18 18 17 17 18 18 18 18 18 18 17 17 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 18 18 18 18 18 18 18 18 18 18
ch140 18 18 18 18 18 18 17 17 18 18 18 18 18 18 17 17 18 18 18 18 18 18 17 17 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 18 18 18 18 18 18 18 18 18 18
